text,source,rating,user_segment,author,created_at
Search doesn't find recipes I've literally saved.,zendesk,,power_user,Sam X.,2026-04-24T18:32:54.026795+00:00
Saved recipes on iPhone don't sync to my iPad. Made me cancel.,nps,1,free_tier,Yuki A.,2026-04-28T18:32:54.026795+00:00
Search is way too slow on Android — takes 5+ seconds.,nps,3,power_user,Riley L.,2026-02-12T01:32:54.026795+00:00
Loved the recipes but the signup flow asks for my address?? Why?,zendesk,,smb,Sam M.,2026-05-12T23:32:54.026795+00:00
App is beautiful and easy to use. 5 stars.,zendesk,,smb,Diego D.,2026-02-12T00:32:54.026795+00:00
Pro features should include grocery integration at this price.,app_store,3,free_tier,Chen U.,2026-02-08T05:32:54.026795+00:00
Tried to subscribe to Pro but the payment failed silently.,play_store,2,new_user,Riley J.,2026-05-15T18:32:54.026795+00:00
AI suggestions are great when they work but maybe 30% of the time the ingredients don't make sense.,play_store,3,enterprise,Sam V.,2026-04-10T19:32:54.026795+00:00
Search is way too slow on Android — takes 5+ seconds.,play_store,2,enterprise,Diego H.,2026-03-27T13:32:54.026795+00:00
"Please add dark mode, my eyes hurt at night cooking.",play_store,3,smb,Maya C.,2026-02-11T15:32:54.026795+00:00
First-time experience felt confusing — I wasn't sure what the app actually did until step 4.,zendesk,,smb,Riley W.,2026-04-28T05:32:54.026795+00:00
AI suggestions are great when they work but maybe 30% of the time the ingredients don't make sense.,play_store,3,free_tier,Maya Z.,2026-02-19T08:32:54.026795+00:00
Search is way too slow on Android — takes 5+ seconds.,nps,2,new_user,Alex D.,2026-03-21T10:32:54.026795+00:00
Card was charged but Pro features didn't unlock for 48 hours. Support never replied.,interview,,smb,Yuki Q.,2026-05-17T13:32:54.026795+00:00
Search is way too slow on Android — takes 5+ seconds.,app_store,2,enterprise,Chen D.,2026-02-27T08:32:54.026795+00:00
Loved the recipes but the signup flow asks for my address?? Why?,nps,3,free_tier,Sam W.,2026-03-22T20:32:54.026795+00:00
First-time experience felt confusing — I wasn't sure what the app actually did until step 4.,interview,,enterprise,Priya T.,2026-04-30T21:32:54.026795+00:00
$15/month for what is essentially a recipe app is too much.,interview,,new_user,Sam M.,2026-04-14T10:32:54.026795+00:00
Love how it adapts to my pantry. Real game changer.,play_store,5,new_user,Sam Z.,2026-04-25T07:32:54.026795+00:00
"Asked for a vegan dinner with chickpeas, got a recipe with chicken. Made me cancel.",play_store,1,free_tier,Priya J.,2026-03-02T10:32:54.026795+00:00
Search is way too slow on Android — takes 5+ seconds.,nps,,power_user,Maya N.,2026-01-27T08:32:54.026795+00:00
Pricing went up without warning — felt sneaky.,nps,,power_user,Jordan C.,2026-03-29T22:32:54.026795+00:00
Love the AI recipe feature when it nails it — but it hallucinates ingredients I don't have.,interview,,power_user,Alex C.,2026-04-26T07:32:54.026795+00:00
"Please add dark mode, my eyes hurt at night cooking.",play_store,3,enterprise,Sam S.,2026-01-31T00:32:54.026795+00:00
Skipped most of the onboarding and now the app keeps prompting me to finish it.,play_store,2,free_tier,Noor H.,2026-02-22T07:32:54.026795+00:00
Lost my shopping list when I switched phones. No way to recover.,play_store,1,smb,Chen P.,2026-05-13T04:32:54.026795+00:00
"Asked for a vegan dinner with chickpeas, got a recipe with chicken.",app_store,1,enterprise,Sam H.,2026-04-04T02:32:54.026795+00:00
Charged twice for the same month — Happens every time.,play_store,2,smb,Jordan C.,2026-05-02T17:32:54.026795+00:00
Love the AI recipe feature when it nails it — but it hallucinates ingredients I don't have.,app_store,3,new_user,Sam H.,2026-03-03T08:32:54.026795+00:00
"The subscribe button just spins forever. Tried on iOS and web, same thing.",nps,2,power_user,Riley A.,2026-01-31T00:32:54.026795+00:00
Pricing went up without warning — felt sneaky.,nps,2,enterprise,Jordan B.,2026-05-06T19:32:54.026795+00:00
Search is way too slow on Android — takes 5+ seconds.,app_store,3,free_tier,Noor S.,2026-05-19T00:32:54.026795+00:00
App is beautiful and easy to use. 5 stars.,play_store,5,power_user,Sam V.,2026-03-21T23:32:54.026795+00:00
Card was charged but Pro features didn't unlock for 48 hours. Support never replied.,app_store,1,new_user,Yuki C.,2026-03-12T06:32:54.026795+00:00
Love the AI recipe feature when it nails it — but it hallucinates ingredients I don't have.,interview,,enterprise,Jordan X.,2026-03-20T15:32:54.026795+00:00
Meal plan I built on the web is missing from the mobile app.,zendesk,,enterprise,Noor L.,2026-04-05T21:32:54.026795+00:00
The AI recipe suggestions are genuinely brilliant. Saved me so much time this week.,app_store,5,new_user,Sam T.,2026-03-07T07:32:54.026795+00:00
Onboarding is slow and asks for too much info before I can even try the app.,play_store,2,power_user,Chen K.,2026-02-02T23:32:54.026795+00:00
Charged twice for the same month —,zendesk,,free_tier,Alex X.,2026-03-08T05:32:54.026795+00:00
Love how it adapts to my pantry. Real game changer.,app_store,5,new_user,Diego E.,2026-04-22T22:32:54.026795+00:00
First-time experience felt confusing — I wasn't sure what the app actually did until step 4.,play_store,3,enterprise,Diego R.,2026-04-29T04:32:54.026795+00:00
Took me 10 minutes to get past the dietary preferences screen. Way too many questions.,nps,,enterprise,Priya W.,2026-05-21T01:32:54.026795+00:00
Free tier is so limited it's basically useless. Either make it free or be clear it's paid.,nps,,new_user,Sam C.,2026-04-01T08:32:54.026795+00:00
Free tier is so limited it's basically useless. Either make it free or be clear it's paid.,interview,,free_tier,Diego E.,2026-05-21T14:32:54.026795+00:00
"Asked for a vegan dinner with chickpeas, got a recipe with chicken. Contacted support, no reply yet.",zendesk,,enterprise,Jordan X.,2026-01-31T00:32:54.026795+00:00
Took me 20 minutes to get past the dietary preferences screen. Way too many questions.,interview,,free_tier,Priya H.,2026-02-01T12:32:54.026795+00:00
Best meal planning app I've used. Recommended to my whole family.,nps,5,power_user,Maya F.,2026-02-14T12:32:54.026795+00:00
Saved recipes on iPhone don't sync to my iPad. Happens every time.,app_store,2,smb,Chen K.,2026-04-27T19:32:54.026795+00:00
Best meal planning app I've used. Recommended to my whole family.,play_store,4,smb,Chen J.,2026-03-02T19:32:54.026795+00:00
Love how it adapts to my pantry. Real game changer.,zendesk,,smb,Diego L.,2026-03-04T09:32:54.026795+00:00
$15/month for what is essentially a recipe app is too much.,zendesk,,enterprise,Alex D.,2026-05-03T07:32:54.026795+00:00
The search bar doesn't accept Unicode characters — can't search for crème brûlée.,zendesk,,free_tier,Sam N.,2026-03-31T06:32:54.026795+00:00
Best meal planning app I've used. Recommended to my whole family.,zendesk,,smb,Alex S.,2026-05-20T03:32:54.026795+00:00
App is beautiful and easy to use. 5 stars.,play_store,5,enterprise,Yuki L.,2026-03-31T23:32:54.026795+00:00
"Please add dark mode, my eyes hurt at night cooking.",zendesk,,smb,Chen N.,2026-03-22T16:32:54.026795+00:00
Dark mode would be a huge upgrade.,play_store,4,power_user,Yuki U.,2026-03-01T13:32:54.026795+00:00
First-time experience felt confusing — I wasn't sure what the app actually did until step 4.,app_store,3,smb,Yuki V.,2026-04-19T19:32:54.026795+00:00
"Loving the app overall, only wish: dark mode!",nps,4,power_user,Sam K.,2026-03-21T10:32:54.026795+00:00
Search is way too slow on Android — takes 5+ seconds.,zendesk,,enterprise,Jordan G.,2026-05-14T18:32:54.026795+00:00
Tried to subscribe to Pro but the payment timed out. Happens every time.,interview,,smb,Riley W.,2026-02-06T23:32:54.026795+00:00
Filters in search don't actually filter. Vegan + under 30min still shows steak.,nps,1,new_user,Sam P.,2026-03-03T03:32:54.026795+00:00
First-time experience felt confusing — I wasn't sure what the app actually did until step 4.,nps,3,smb,Priya Q.,2026-01-28T22:32:54.026795+00:00
Why is there no dark theme in 2025?,nps,,smb,Diego Q.,2026-02-22T09:32:54.026795+00:00
The new weekly meal plan feature is fantastic.,nps,4,enterprise,Diego R.,2026-02-07T05:32:54.026795+00:00
The search bar doesn't accept Unicode characters — can't search for crème brûlée.,nps,3,enterprise,Chen T.,2026-04-25T17:32:54.026795+00:00
Card was charged but Pro features didn't unlock for 12 hours. Support never replied.,nps,,new_user,Riley P.,2026-02-24T19:32:54.026795+00:00
Generated recipe had no measurements for half the ingredients.,nps,2,new_user,Yuki N.,2026-04-06T07:32:54.026795+00:00
AI suggestions are great when they work but maybe 30% of the time the ingredients don't make sense.,zendesk,,smb,Diego Z.,2026-02-18T13:32:54.026795+00:00
Meal plan I built on the web is missing from the mobile app.,nps,2,smb,Chen X.,2026-03-25T01:32:54.026795+00:00
"Loving the app overall, only wish: dark mode!",play_store,5,free_tier,Diego A.,2026-01-28T21:32:54.026795+00:00
App is beautiful and easy to use. 5 stars.,interview,,new_user,Riley E.,2026-03-03T01:32:54.026795+00:00
Best meal planning app I've used. Recommended to my whole family.,app_store,5,power_user,Noor L.,2026-04-07T15:32:54.026795+00:00
Generated recipe had no measurements for half the ingredients.,zendesk,,enterprise,Sam R.,2026-02-18T12:32:54.026795+00:00
Charged twice for the same month — Really frustrating.,zendesk,,new_user,Alex A.,2026-04-27T05:32:54.026795+00:00
Free tier is so limited it's basically useless. Either make it free or be clear it's paid.,app_store,1,smb,Sam U.,2026-04-25T21:32:54.026795+00:00
Pro features should include grocery integration at this price.,zendesk,,power_user,Yuki V.,2026-02-16T14:32:54.026795+00:00
$15/month for what is essentially a recipe app is too much.,play_store,2,new_user,Maya U.,2026-05-12T07:32:54.026795+00:00
"Loving the app overall, only wish: dark mode!",nps,,free_tier,Jordan D.,2026-04-30T23:32:54.026795+00:00
Why is there no dark theme in 2025?,interview,,free_tier,Alex M.,2026-02-11T22:32:54.026795+00:00
The search bar doesn't accept Unicode characters — can't search for crème brûlée.,app_store,3,smb,Sam P.,2026-05-24T12:32:54.026795+00:00
Pro features should include grocery integration at this price.,play_store,3,free_tier,Maya V.,2026-05-03T02:32:54.026795+00:00
Lost my shopping list when I switched phones. No way to recover.,nps,2,new_user,Maya Q.,2026-04-14T18:32:54.026795+00:00
Skipped most of the onboarding and now the app keeps prompting me to finish it.,interview,,smb,Chen A.,2026-03-08T04:32:54.026795+00:00
AI suggestions are great when they work but maybe 30% of the time the ingredients don't make sense.,play_store,3,enterprise,Chen J.,2026-04-28T14:32:54.026795+00:00
Love how it adapts to my pantry. Real game changer.,interview,,power_user,Sam H.,2026-05-24T09:32:54.026795+00:00
Lost my shopping list when I switched phones. No way to recover.,interview,,smb,Noor Q.,2026-02-17T18:32:54.026795+00:00
"Saved recipes on iPhone don't sync to my iPad. Contacted support, no reply yet.",play_store,2,enterprise,Yuki M.,2026-02-26T18:32:54.026795+00:00
Love the AI recipe feature when it nails it — but it hallucinates ingredients I don't have.,zendesk,,free_tier,Chen M.,2026-04-01T02:32:54.026795+00:00
Why is there no dark theme in 2025?,zendesk,,new_user,Jordan L.,2026-04-23T18:32:54.026795+00:00
Charged twice for the same month —,play_store,1,smb,Maya Z.,2026-04-28T02:32:54.026795+00:00
Search is way too slow on Android — takes 5+ seconds.,interview,,power_user,Maya H.,2026-04-19T22:32:54.026795+00:00
AI suggestions are great when they work but maybe 30% of the time the ingredients don't make sense.,app_store,3,new_user,Diego K.,2026-04-21T00:32:54.026795+00:00
Dark mode would be a huge upgrade.,nps,3,smb,Noor Q.,2026-03-13T16:32:54.026795+00:00
"Asked for a vegan dinner with chickpeas, got a recipe with chicken. Contacted support, no reply yet.",nps,1,new_user,Yuki W.,2026-04-04T10:32:54.026795+00:00
Dark mode would be a huge upgrade.,play_store,4,new_user,Diego P.,2026-05-15T18:32:54.026795+00:00
Search is way too slow on Android — takes 5+ seconds.,play_store,3,enterprise,Yuki P.,2026-03-29T11:32:54.026795+00:00
First-time experience felt confusing — I wasn't sure what the app actually did until step 4.,app_store,3,power_user,Maya X.,2026-02-17T19:32:54.026795+00:00
Card was charged but Pro features didn't unlock for 12 hours. Support never replied.,interview,,new_user,Riley Q.,2026-05-16T20:32:54.026795+00:00
"Loving the app overall, only wish: dark mode!",zendesk,,enterprise,Maya Y.,2026-05-21T18:32:54.026795+00:00
The AI recipe suggestions are genuinely brilliant. Saved me so much time this week.,play_store,5,free_tier,Jordan P.,2026-02-14T05:32:54.026795+00:00
Card was charged but Pro features didn't unlock for 12 hours. Support never replied.,zendesk,,new_user,Alex F.,2026-02-09T21:32:54.026795+00:00
"Sync between devices is unreliable — sometimes works, sometimes silent failure.",nps,3,enterprise,Diego T.,2026-02-25T13:32:54.026795+00:00
"Asked for a vegan dinner with chickpeas, got a recipe with chicken. Made me cancel.",app_store,2,free_tier,Maya A.,2026-02-20T15:32:54.026795+00:00
Charged twice for the same month — Made me cancel.,app_store,2,power_user,Noor S.,2026-03-14T00:32:54.026795+00:00
Why is there no dark theme in 2025?,play_store,3,new_user,Noor M.,2026-03-05T10:32:54.026795+00:00
AI suggestions are great when they work but maybe 30% of the time the ingredients don't make sense.,app_store,3,smb,Maya X.,2026-04-13T12:32:54.026795+00:00
$15/month for what is essentially a recipe app is too much.,nps,2,smb,Diego A.,2026-04-14T22:32:54.026795+00:00
"Loving the app overall, only wish: dark mode!",nps,5,smb,Alex G.,2026-03-07T10:32:54.026795+00:00
Loved the recipes but the signup flow asks for my address?? Why?,zendesk,,smb,Sam A.,2026-03-30T03:32:54.026795+00:00
Free tier is so limited it's basically useless. Either make it free or be clear it's paid.,play_store,2,free_tier,Riley C.,2026-03-17T01:32:54.026795+00:00
Took me 25 minutes to get past the dietary preferences screen. Way too many questions.,app_store,2,enterprise,Diego Y.,2026-03-23T03:32:54.026795+00:00
Skipped most of the onboarding and now the app keeps prompting me to finish it.,nps,2,free_tier,Diego Z.,2026-04-06T19:32:54.026795+00:00
The AI recipe suggestions are genuinely brilliant. Saved me so much time this week.,zendesk,,enterprise,Diego J.,2026-02-16T12:32:54.026795+00:00
Love how it adapts to my pantry. Real game changer.,zendesk,,free_tier,Noor E.,2026-02-07T07:32:54.026795+00:00
Generated recipe had no measurements for half the ingredients.,zendesk,,free_tier,Riley Q.,2026-04-13T08:32:54.026795+00:00
Free tier is so limited it's basically useless. Either make it free or be clear it's paid.,play_store,2,new_user,Chen Z.,2026-04-26T12:32:54.026795+00:00
Generated recipe had no measurements for half the ingredients.,nps,,power_user,Noor B.,2026-02-13T05:32:54.026795+00:00
"Charged twice for the same month — Contacted support, no reply yet.",app_store,2,smb,Alex Z.,2026-05-13T09:32:54.026795+00:00
Card was charged but Pro features didn't unlock for 6 hours. Support never replied.,nps,,free_tier,Riley W.,2026-04-22T15:32:54.026795+00:00
Got a 'payment declined' error even though my card works everywhere else.,interview,,smb,Diego B.,2026-04-07T15:32:54.026795+00:00
Searching for 'pasta' returns desserts. Something's broken.,zendesk,,new_user,Riley D.,2026-04-26T02:32:54.026795+00:00
Saved recipes on iPhone don't sync to my iPad. Happens every time.,play_store,3,new_user,Chen B.,2026-04-18T01:32:54.026795+00:00
Onboarding is slow and asks for too much info before I can even try the app.,nps,3,power_user,Priya F.,2026-04-03T07:32:54.026795+00:00
"The subscribe button just spins forever. Tried on iOS and web, same thing.",interview,,smb,Yuki E.,2026-02-27T18:32:54.026795+00:00
Onboarding is slow and asks for too much info before I can even try the app.,nps,1,enterprise,Diego F.,2026-01-30T11:32:54.026795+00:00
Got a 'payment declined' error even though my card works everywhere else. Made me cancel.,zendesk,,enterprise,Noor K.,2026-03-05T12:32:54.026795+00:00
"The subscribe button just spins forever. Tried on iOS and web, same thing.",nps,2,free_tier,Maya Y.,2026-03-13T14:32:54.026795+00:00
Skipped most of the onboarding and now the app keeps prompting me to finish it.,zendesk,,new_user,Yuki Z.,2026-05-24T07:32:54.026795+00:00
AI suggestions are great when they work but maybe 30% of the time the ingredients don't make sense.,play_store,3,power_user,Yuki J.,2026-04-27T05:32:54.026795+00:00
Dark mode would be a huge upgrade.,app_store,3,new_user,Yuki M.,2026-04-16T11:32:54.026795+00:00
"Saved recipes on iPhone don't sync to my iPad. Contacted support, no reply yet.",zendesk,,power_user,Jordan E.,2026-02-19T12:32:54.026795+00:00
"Sync between devices is unreliable — sometimes works, sometimes silent failure.",interview,,power_user,Maya R.,2026-03-22T17:32:54.026795+00:00
Pricing went up without warning — felt sneaky.,zendesk,,smb,Sam E.,2026-02-12T22:32:54.026795+00:00
Meal plan I built on the web is missing from the mobile app.,nps,,enterprise,Sam N.,2026-02-12T08:32:54.026795+00:00
Charged twice for the same month — Really frustrating.,nps,2,enterprise,Sam X.,2026-03-12T13:32:54.026795+00:00
Took me 20 minutes to get past the dietary preferences screen. Way too many questions.,interview,,new_user,Noor Y.,2026-04-27T05:32:54.026795+00:00
Skipped most of the onboarding and now the app keeps prompting me to finish it.,app_store,2,enterprise,Noor D.,2026-05-21T00:32:54.026795+00:00
Charged twice for the same month — Please fix.,nps,2,power_user,Riley W.,2026-03-11T02:32:54.026795+00:00
"The subscribe button just spins forever. Tried on iOS and web, same thing.",interview,,new_user,Chen G.,2026-04-03T17:32:54.026795+00:00
Recipe generator keeps suggesting the same 3 meals over and over.,zendesk,,enterprise,Diego W.,2026-05-13T04:32:54.026795+00:00
Generated recipe had no measurements for half the ingredients.,zendesk,,smb,Sam X.,2026-05-01T22:32:54.026795+00:00
First-time experience felt confusing — I wasn't sure what the app actually did until step 4.,app_store,3,power_user,Priya U.,2026-02-14T15:32:54.026795+00:00
First-time experience felt confusing — I wasn't sure what the app actually did until step 4.,play_store,3,enterprise,Priya V.,2026-02-10T18:32:54.026795+00:00
Card was charged but Pro features didn't unlock for 12 hours. Support never replied.,interview,,new_user,Alex E.,2026-04-23T20:32:54.026795+00:00
Card was charged but Pro features didn't unlock for 24 hours. Support never replied.,app_store,1,power_user,Riley S.,2026-04-23T00:32:54.026795+00:00
Tried to subscribe to Pro but the payment wouldn't go through. Happens every time.,zendesk,,new_user,Noor S.,2026-03-21T07:32:54.026795+00:00
First-time experience felt confusing — I wasn't sure what the app actually did until step 4.,app_store,3,new_user,Alex R.,2026-03-28T05:32:54.026795+00:00
The new weekly meal plan feature is fantastic.,app_store,5,new_user,Sam L.,2026-02-23T11:32:54.026795+00:00
Search doesn't find recipes I've literally saved. Please fix.,zendesk,,free_tier,Diego Y.,2026-03-07T05:32:54.026795+00:00
Love the AI recipe feature when it nails it — but it hallucinates ingredients I don't have.,interview,,free_tier,Yuki P.,2026-04-18T11:32:54.026795+00:00
Tried to subscribe to Pro but the payment timed out. Happens every time.,nps,,smb,Riley P.,2026-04-03T15:32:54.026795+00:00
"Sync between devices is unreliable — sometimes works, sometimes silent failure.",nps,3,smb,Sam C.,2026-04-08T21:32:54.026795+00:00
The AI recipe suggestions are genuinely brilliant. Saved me so much time this week.,nps,5,free_tier,Alex U.,2026-02-11T21:32:54.026795+00:00
Pricing went up without warning — felt sneaky.,app_store,2,smb,Alex K.,2026-04-10T04:32:54.026795+00:00
The search bar doesn't accept Unicode characters — can't search for crème brûlée.,app_store,2,smb,Jordan D.,2026-05-06T04:32:54.026795+00:00
Love the AI recipe feature when it nails it — but it hallucinates ingredients I don't have.,zendesk,,free_tier,Jordan P.,2026-05-11T17:32:54.026795+00:00
App is beautiful and easy to use. 5 stars.,interview,,free_tier,Alex V.,2026-02-28T05:32:54.026795+00:00
Love how it adapts to my pantry. Real game changer.,app_store,5,enterprise,Chen M.,2026-04-21T03:32:54.026795+00:00
Card was charged but Pro features didn't unlock for 48 hours. Support never replied.,app_store,1,new_user,Sam Z.,2026-02-20T05:32:54.026795+00:00
Filters in search don't actually filter. Vegan + under 30min still shows steak.,nps,1,enterprise,Yuki V.,2026-04-08T16:32:54.026795+00:00
Tried to subscribe to Pro but the payment timed out. Please fix.,interview,,new_user,Maya Q.,2026-05-19T04:32:54.026795+00:00
"Loving the app overall, only wish: dark mode!",interview,,enterprise,Jordan S.,2026-03-30T12:32:54.026795+00:00
"The subscribe button just spins forever. Tried on iOS and web, same thing.",app_store,2,free_tier,Noor S.,2026-02-28T04:32:54.026795+00:00
"Please add dark mode, my eyes hurt at night cooking.",play_store,4,new_user,Jordan K.,2026-03-11T00:32:54.026795+00:00
Free tier is so limited it's basically useless. Either make it free or be clear it's paid.,zendesk,,new_user,Alex R.,2026-04-18T15:32:54.026795+00:00
Meal plan I built on the web is missing from the mobile app.,play_store,2,power_user,Diego T.,2026-03-18T03:32:54.026795+00:00
Love how it adapts to my pantry. Real game changer.,app_store,5,new_user,Riley A.,2026-02-04T02:32:54.026795+00:00
"Asked for a vegan dinner with chickpeas, got a recipe with chicken. Contacted support, no reply yet.",interview,,smb,Riley K.,2026-04-01T07:32:54.026795+00:00
