text,source,rating,user_segment,author,created_at
Tried to subscribe to Pro but the payment returned an error. Please fix.,interview,,enterprise,Sam P.,2026-03-28T03:32:54.026795+00:00
Best meal planning app I've used. Recommended to my whole family.,nps,,smb,Maya Z.,2026-03-19T23:32:54.026795+00:00
AI suggestions are great when they work but maybe 30% of the time the ingredients don't make sense.,play_store,3,new_user,Diego S.,2026-03-21T05:32:54.026795+00:00
"Got a 'payment declined' error even though my card works everywhere else. Contacted support, no reply yet.",play_store,1,enterprise,Jordan F.,2026-05-12T21:32:54.026795+00:00
Search doesn't find recipes I've literally saved. Please fix.,nps,3,smb,Yuki W.,2026-02-17T07:32:54.026795+00:00
Search is way too slow on Android — takes 5+ seconds.,zendesk,,enterprise,Priya Q.,2026-02-04T05:32:54.026795+00:00
"The subscribe button just spins forever. Tried on iOS and web, same thing.",zendesk,,free_tier,Alex M.,2026-02-13T17:32:54.026795+00:00
The search bar doesn't accept Unicode characters — can't search for crème brûlée.,nps,2,new_user,Sam V.,2026-04-08T16:32:54.026795+00:00
Filters in search don't actually filter. Vegan + under 30min still shows steak.,nps,,new_user,Noor U.,2026-02-13T02:32:54.026795+00:00
Why is there no dark theme in 2025?,interview,,power_user,Alex Q.,2026-03-26T09:32:54.026795+00:00
Got a 'payment declined' error even though my card works everywhere else.,app_store,1,smb,Noor S.,2026-05-20T18:32:54.026795+00:00
Searching for 'pasta' returns desserts. Something's broken.,zendesk,,smb,Riley L.,2026-04-08T16:32:54.026795+00:00
"Please add dark mode, my eyes hurt at night cooking.",zendesk,,new_user,Diego X.,2026-05-17T15:32:54.026795+00:00
AI suggestions are great when they work but maybe 30% of the time the ingredients don't make sense.,interview,,enterprise,Sam U.,2026-02-03T21:32:54.026795+00:00
Why is there no dark theme in 2025?,zendesk,,smb,Priya V.,2026-03-03T03:32:54.026795+00:00
"Please add dark mode, my eyes hurt at night cooking.",zendesk,,enterprise,Priya X.,2026-03-15T13:32:54.026795+00:00
"Please add dark mode, my eyes hurt at night cooking.",nps,,enterprise,Priya G.,2026-05-23T14:32:54.026795+00:00
Generated recipe had no measurements for half the ingredients.,play_store,1,new_user,Maya D.,2026-05-08T21:32:54.026795+00:00
Search is way too slow on Android — takes 5+ seconds.,interview,,enterprise,Yuki E.,2026-05-21T04:32:54.026795+00:00
Searching for 'pasta' returns desserts. Something's broken.,play_store,1,free_tier,Priya Z.,2026-02-08T03:32:54.026795+00:00
Generated recipe had no measurements for half the ingredients.,zendesk,,power_user,Noor V.,2026-02-28T02:32:54.026795+00:00
Skipped most of the onboarding and now the app keeps prompting me to finish it.,play_store,2,power_user,Chen X.,2026-04-16T10:32:54.026795+00:00
Pro features should include grocery integration at this price.,nps,,free_tier,Diego P.,2026-02-15T13:32:54.026795+00:00
Free tier is so limited it's basically useless. Either make it free or be clear it's paid.,interview,,new_user,Noor M.,2026-05-08T17:32:54.026795+00:00
Search doesn't find recipes I've literally saved.,interview,,enterprise,Sam F.,2026-02-06T22:32:54.026795+00:00
First-time experience felt confusing — I wasn't sure what the app actually did until step 4.,play_store,3,smb,Chen A.,2026-05-14T18:32:54.026795+00:00
Generated recipe had no measurements for half the ingredients.,interview,,smb,Sam M.,2026-04-08T18:32:54.026795+00:00
Onboarding is slow and asks for too much info before I can even try the app.,app_store,3,power_user,Priya B.,2026-03-03T15:32:54.026795+00:00
Skipped most of the onboarding and now the app keeps prompting me to finish it.,play_store,3,new_user,Sam A.,2026-03-29T06:32:54.026795+00:00
Loved the recipes but the signup flow asks for my address?? Why?,interview,,free_tier,Diego P.,2026-01-25T02:32:54.026795+00:00
Got a 'payment declined' error even though my card works everywhere else. Please fix.,zendesk,,power_user,Riley W.,2026-05-11T00:32:54.026795+00:00
Lost my shopping list when I switched phones. No way to recover.,app_store,1,free_tier,Diego A.,2026-02-07T10:32:54.026795+00:00
Search is way too slow on Android — takes 5+ seconds.,play_store,2,new_user,Yuki M.,2026-04-18T12:32:54.026795+00:00
Skipped most of the onboarding and now the app keeps prompting me to finish it.,play_store,2,new_user,Diego T.,2026-03-19T14:32:54.026795+00:00
Search is way too slow on Android — takes 5+ seconds.,interview,,smb,Alex W.,2026-05-23T13:32:54.026795+00:00
AI suggestions are great when they work but maybe 30% of the time the ingredients don't make sense.,zendesk,,enterprise,Sam M.,2026-02-20T01:32:54.026795+00:00
Took me 20 minutes to get past the dietary preferences screen. Way too many questions.,play_store,2,enterprise,Priya X.,2026-04-10T08:32:54.026795+00:00
Generated recipe had no measurements for half the ingredients.,play_store,1,smb,Alex K.,2026-05-17T03:32:54.026795+00:00
Loved the recipes but the signup flow asks for my address?? Why?,app_store,3,free_tier,Riley T.,2026-01-26T16:32:54.026795+00:00
"Asked for a vegan dinner with chickpeas, got a recipe with chicken.",play_store,2,enterprise,Maya D.,2026-04-11T00:32:54.026795+00:00
Lost my shopping list when I switched phones. No way to recover.,nps,,enterprise,Priya R.,2026-01-31T13:32:54.026795+00:00
Why is there no dark theme in 2025?,interview,,smb,Sam P.,2026-04-21T23:32:54.026795+00:00
Searching for 'pasta' returns desserts. Something's broken.,interview,,new_user,Sam L.,2026-04-18T15:32:54.026795+00:00
Why is there no dark theme in 2025?,nps,,smb,Chen Q.,2026-04-01T20:32:54.026795+00:00
Got a 'payment declined' error even though my card works everywhere else. Made me cancel.,nps,1,smb,Chen S.,2026-05-16T04:32:54.026795+00:00
Meal plan I built on the web is missing from the mobile app.,app_store,1,smb,Alex E.,2026-02-06T06:32:54.026795+00:00
"Got a 'payment declined' error even though my card works everywhere else. Contacted support, no reply yet.",nps,,power_user,Noor M.,2026-05-21T06:32:54.026795+00:00
"Asked for a vegan dinner with chickpeas, got a recipe with chicken. Made me cancel.",play_store,3,enterprise,Maya H.,2026-04-09T13:32:54.026795+00:00
$15/month for what is essentially a recipe app is too much.,play_store,2,free_tier,Sam J.,2026-03-20T13:32:54.026795+00:00
Lost my shopping list when I switched phones. No way to recover.,play_store,2,power_user,Sam E.,2026-02-26T10:32:54.026795+00:00
The new weekly meal plan feature is fantastic.,play_store,5,enterprise,Chen Y.,2026-05-14T04:32:54.026795+00:00
"Charged twice for the same month — Contacted support, no reply yet.",zendesk,,power_user,Chen S.,2026-02-06T20:32:54.026795+00:00
Loved the recipes but the signup flow asks for my address?? Why?,play_store,2,new_user,Chen T.,2026-02-13T10:32:54.026795+00:00
Filters in search don't actually filter. Vegan + under 30min still shows steak.,interview,,new_user,Sam K.,2026-05-09T06:32:54.026795+00:00
Generated recipe had no measurements for half the ingredients.,interview,,free_tier,Sam E.,2026-04-03T12:32:54.026795+00:00
$15/month for what is essentially a recipe app is too much.,nps,2,free_tier,Priya E.,2026-05-09T08:32:54.026795+00:00
"Asked for a vegan dinner with chickpeas, got a recipe with chicken. Really frustrating.",interview,,power_user,Priya L.,2026-05-06T16:32:54.026795+00:00
Free tier is so limited it's basically useless. Either make it free or be clear it's paid.,zendesk,,enterprise,Sam J.,2026-01-25T09:32:54.026795+00:00
"Charged twice for the same month — Contacted support, no reply yet.",play_store,2,new_user,Diego W.,2026-03-08T08:32:54.026795+00:00
Charged twice for the same month — Please fix.,play_store,2,new_user,Alex C.,2026-02-07T07:32:54.026795+00:00
"Charged twice for the same month — Contacted support, no reply yet.",play_store,2,new_user,Noor W.,2026-03-07T05:32:54.026795+00:00
The search bar doesn't accept Unicode characters — can't search for crème brûlée.,nps,3,new_user,Alex F.,2026-04-17T11:32:54.026795+00:00
Generated recipe had no measurements for half the ingredients.,nps,3,enterprise,Chen N.,2026-05-07T15:32:54.026795+00:00
Got a 'payment declined' error even though my card works everywhere else. Made me cancel.,interview,,power_user,Noor D.,2026-05-12T15:32:54.026795+00:00
Loved the recipes but the signup flow asks for my address?? Why?,play_store,2,smb,Yuki P.,2026-05-19T16:32:54.026795+00:00
Loved the recipes but the signup flow asks for my address?? Why?,zendesk,,enterprise,Jordan F.,2026-01-26T07:32:54.026795+00:00
Love the AI recipe feature when it nails it — but it hallucinates ingredients I don't have.,nps,4,new_user,Riley S.,2026-03-24T01:32:54.026795+00:00
Recipe generator keeps suggesting the same 3 meals over and over.,play_store,3,enterprise,Noor V.,2026-05-20T00:32:54.026795+00:00
The new weekly meal plan feature is fantastic.,zendesk,,new_user,Riley E.,2026-03-19T01:32:54.026795+00:00
Love how it adapts to my pantry. Real game changer.,nps,5,free_tier,Jordan M.,2026-05-19T07:32:54.026795+00:00
Search doesn't find recipes I've literally saved. Happens every time.,interview,,enterprise,Yuki X.,2026-03-29T08:32:54.026795+00:00
Searching for 'pasta' returns desserts. Something's broken.,app_store,2,free_tier,Chen E.,2026-04-08T15:32:54.026795+00:00
Charged twice for the same month — Happens every time.,interview,,new_user,Priya Y.,2026-05-21T00:32:54.026795+00:00
Generated recipe had no measurements for half the ingredients.,interview,,free_tier,Diego E.,2026-03-28T21:32:54.026795+00:00
Love the AI recipe feature when it nails it — but it hallucinates ingredients I don't have.,zendesk,,free_tier,Maya U.,2026-05-05T13:32:54.026795+00:00
Love the AI recipe feature when it nails it — but it hallucinates ingredients I don't have.,interview,,free_tier,Maya R.,2026-03-24T03:32:54.026795+00:00
Love how it adapts to my pantry. Real game changer.,zendesk,,smb,Yuki K.,2026-02-28T22:32:54.026795+00:00
Saved recipes on iPhone don't sync to my iPad. Made me cancel.,nps,3,free_tier,Jordan Z.,2026-02-14T07:32:54.026795+00:00
"The subscribe button just spins forever. Tried on iOS and web, same thing.",play_store,3,free_tier,Riley E.,2026-03-06T02:32:54.026795+00:00
Best meal planning app I've used. Recommended to my whole family.,app_store,4,smb,Chen P.,2026-05-02T01:32:54.026795+00:00
Card was charged but Pro features didn't unlock for 48 hours. Support never replied.,interview,,smb,Alex Y.,2026-02-15T06:32:54.026795+00:00
Card was charged but Pro features didn't unlock for 24 hours. Support never replied.,nps,,smb,Diego L.,2026-04-15T20:32:54.026795+00:00
The search bar doesn't accept Unicode characters — can't search for crème brûlée.,interview,,power_user,Maya T.,2026-03-25T19:32:54.026795+00:00
Onboarding is slow and asks for too much info before I can even try the app.,zendesk,,smb,Chen R.,2026-02-24T19:32:54.026795+00:00
AI suggestions are great when they work but maybe 30% of the time the ingredients don't make sense.,zendesk,,free_tier,Riley N.,2026-05-10T07:32:54.026795+00:00
Best meal planning app I've used. Recommended to my whole family.,zendesk,,new_user,Chen Q.,2026-05-20T16:32:54.026795+00:00
"Loving the app overall, only wish: dark mode!",play_store,4,enterprise,Diego Y.,2026-02-09T08:32:54.026795+00:00
Took me 15 minutes to get past the dietary preferences screen. Way too many questions.,play_store,2,power_user,Jordan B.,2026-03-01T09:32:54.026795+00:00
Got a 'payment declined' error even though my card works everywhere else.,nps,1,power_user,Riley W.,2026-05-25T08:32:54.026795+00:00
Pro features should include grocery integration at this price.,nps,,enterprise,Maya W.,2026-02-18T16:32:54.026795+00:00
Tried to subscribe to Pro but the payment timed out. Made me cancel.,app_store,1,new_user,Riley R.,2026-04-02T20:32:54.026795+00:00
Got a 'payment declined' error even though my card works everywhere else. Really frustrating.,app_store,2,new_user,Chen K.,2026-03-14T06:32:54.026795+00:00
Love the AI recipe feature when it nails it — but it hallucinates ingredients I don't have.,interview,,free_tier,Noor J.,2026-03-23T21:32:54.026795+00:00
Tried to subscribe to Pro but the payment returned an error. Please fix.,nps,,new_user,Chen K.,2026-02-23T20:32:54.026795+00:00
Searching for 'pasta' returns desserts. Something's broken.,play_store,2,free_tier,Chen C.,2026-02-09T12:32:54.026795+00:00
"Asked for a vegan dinner with chickpeas, got a recipe with chicken. Please fix.",play_store,2,new_user,Maya N.,2026-04-14T18:32:54.026795+00:00
Onboarding is slow and asks for too much info before I can even try the app.,zendesk,,free_tier,Alex J.,2026-04-17T07:32:54.026795+00:00
Dark mode would be a huge upgrade.,app_store,3,power_user,Riley X.,2026-03-27T16:32:54.026795+00:00
The search bar doesn't accept Unicode characters — can't search for crème brûlée.,app_store,3,power_user,Jordan E.,2026-04-08T06:32:54.026795+00:00
Generated recipe had no measurements for half the ingredients.,interview,,free_tier,Noor T.,2026-04-08T12:32:54.026795+00:00
Meal plan I built on the web is missing from the mobile app.,play_store,3,new_user,Diego Q.,2026-02-18T06:32:54.026795+00:00
The search bar doesn't accept Unicode characters — can't search for crème brûlée.,app_store,2,free_tier,Jordan U.,2026-05-18T08:32:54.026795+00:00
Searching for 'pasta' returns desserts. Something's broken.,zendesk,,smb,Sam X.,2026-02-05T09:32:54.026795+00:00
First-time experience felt confusing — I wasn't sure what the app actually did until step 4.,nps,3,smb,Priya S.,2026-02-12T00:32:54.026795+00:00
Love the AI recipe feature when it nails it — but it hallucinates ingredients I don't have.,app_store,4,new_user,Riley J.,2026-02-28T16:32:54.026795+00:00
Best meal planning app I've used. Recommended to my whole family.,interview,,smb,Chen Y.,2026-05-17T00:32:54.026795+00:00
Tried to subscribe to Pro but the payment failed silently. Happens every time.,app_store,2,power_user,Riley M.,2026-04-03T20:32:54.026795+00:00
Pro features should include grocery integration at this price.,nps,,smb,Sam X.,2026-01-29T13:32:54.026795+00:00
Free tier is so limited it's basically useless. Either make it free or be clear it's paid.,zendesk,,free_tier,Riley S.,2026-05-10T20:32:54.026795+00:00
Card was charged but Pro features didn't unlock for 6 hours. Support never replied.,app_store,2,free_tier,Riley T.,2026-03-27T04:32:54.026795+00:00
Recipe generator keeps suggesting the same 3 meals over and over.,play_store,3,enterprise,Jordan Z.,2026-04-11T21:32:54.026795+00:00
Saved recipes on iPhone don't sync to my iPad.,nps,,power_user,Jordan C.,2026-01-27T01:32:54.026795+00:00
Tried to subscribe to Pro but the payment wouldn't go through. Made me cancel.,app_store,1,smb,Noor H.,2026-02-21T00:32:54.026795+00:00
Search doesn't find recipes I've literally saved. Please fix.,interview,,free_tier,Chen U.,2026-04-18T18:32:54.026795+00:00
The search bar doesn't accept Unicode characters — can't search for crème brûlée.,play_store,3,free_tier,Jordan P.,2026-02-02T21:32:54.026795+00:00
Took me 15 minutes to get past the dietary preferences screen. Way too many questions.,nps,,smb,Diego L.,2026-05-19T14:32:54.026795+00:00
"Loving the app overall, only wish: dark mode!",play_store,5,free_tier,Noor H.,2026-04-07T20:32:54.026795+00:00
Love how it adapts to my pantry. Real game changer.,play_store,5,free_tier,Riley P.,2026-01-29T00:32:54.026795+00:00
Searching for 'pasta' returns desserts. Something's broken.,nps,1,new_user,Noor M.,2026-04-13T05:32:54.026795+00:00
Card was charged but Pro features didn't unlock for 6 hours. Support never replied.,zendesk,,free_tier,Yuki B.,2026-04-07T04:32:54.026795+00:00
Best meal planning app I've used. Recommended to my whole family.,interview,,free_tier,Jordan R.,2026-02-22T04:32:54.026795+00:00
Onboarding is slow and asks for too much info before I can even try the app.,zendesk,,power_user,Jordan Z.,2026-01-30T01:32:54.026795+00:00
"The subscribe button just spins forever. Tried on iOS and web, same thing.",play_store,3,power_user,Riley H.,2026-03-09T03:32:54.026795+00:00
The search bar doesn't accept Unicode characters — can't search for crème brûlée.,nps,3,enterprise,Diego R.,2026-04-16T17:32:54.026795+00:00
Generated recipe had no measurements for half the ingredients.,zendesk,,enterprise,Chen P.,2026-01-28T19:32:54.026795+00:00
Card was charged but Pro features didn't unlock for 12 hours. Support never replied.,app_store,2,free_tier,Riley K.,2026-03-16T07:32:54.026795+00:00
Got a 'payment declined' error even though my card works everywhere else. Please fix.,nps,,free_tier,Chen J.,2026-04-24T10:32:54.026795+00:00
Lost my shopping list when I switched phones. No way to recover.,nps,2,free_tier,Noor F.,2026-05-04T21:32:54.026795+00:00
App is beautiful and easy to use. 5 stars.,app_store,5,new_user,Alex P.,2026-02-07T23:32:54.026795+00:00
Card was charged but Pro features didn't unlock for 6 hours. Support never replied.,play_store,1,smb,Chen B.,2026-04-28T09:32:54.026795+00:00
Search is way too slow on Android — takes 5+ seconds.,nps,,free_tier,Diego P.,2026-05-24T01:32:54.026795+00:00
Charged twice for the same month —,zendesk,,new_user,Diego Y.,2026-03-18T16:32:54.026795+00:00
Dark mode would be a huge upgrade.,app_store,3,power_user,Jordan V.,2026-03-19T21:32:54.026795+00:00
The search bar doesn't accept Unicode characters — can't search for crème brûlée.,zendesk,,new_user,Chen N.,2026-02-13T13:32:54.026795+00:00
Recipe generator keeps suggesting the same 3 meals over and over.,play_store,3,new_user,Sam N.,2026-02-27T23:32:54.026795+00:00
Love the AI recipe feature when it nails it — but it hallucinates ingredients I don't have.,nps,3,new_user,Noor P.,2026-02-25T20:32:54.026795+00:00
Why is there no dark theme in 2025?,interview,,free_tier,Alex H.,2026-02-05T22:32:54.026795+00:00
First-time experience felt confusing — I wasn't sure what the app actually did until step 4.,nps,3,free_tier,Yuki X.,2026-02-27T17:32:54.026795+00:00
Got a 'payment declined' error even though my card works everywhere else. Really frustrating.,play_store,1,smb,Sam K.,2026-02-18T03:32:54.026795+00:00
Card was charged but Pro features didn't unlock for 48 hours. Support never replied.,interview,,power_user,Sam S.,2026-04-13T13:32:54.026795+00:00
"Sync between devices is unreliable — sometimes works, sometimes silent failure.",app_store,2,new_user,Chen V.,2026-03-31T18:32:54.026795+00:00
Lost my shopping list when I switched phones. No way to recover.,zendesk,,enterprise,Noor R.,2026-05-22T05:32:54.026795+00:00
First-time experience felt confusing — I wasn't sure what the app actually did until step 4.,nps,3,enterprise,Jordan Y.,2026-05-15T06:32:54.026795+00:00
Got a 'payment declined' error even though my card works everywhere else. Please fix.,nps,,smb,Chen M.,2026-03-05T21:32:54.026795+00:00
Tried to subscribe to Pro but the payment returned an error. Happens every time.,zendesk,,new_user,Priya C.,2026-02-17T17:32:54.026795+00:00
"The subscribe button just spins forever. Tried on iOS and web, same thing.",interview,,smb,Sam A.,2026-03-15T09:32:54.026795+00:00
Charged twice for the same month — Really frustrating.,interview,,smb,Alex K.,2026-03-10T15:32:54.026795+00:00
"Asked for a vegan dinner with chickpeas, got a recipe with chicken.",interview,,free_tier,Diego F.,2026-01-30T18:32:54.026795+00:00
Dark mode would be a huge upgrade.,play_store,4,smb,Priya C.,2026-04-17T17:32:54.026795+00:00
Got a 'payment declined' error even though my card works everywhere else. Happens every time.,zendesk,,enterprise,Maya H.,2026-03-25T23:32:54.026795+00:00
Lost my shopping list when I switched phones. No way to recover.,interview,,smb,Sam E.,2026-03-08T19:32:54.026795+00:00
Skipped most of the onboarding and now the app keeps prompting me to finish it.,zendesk,,smb,Chen Q.,2026-02-07T06:32:54.026795+00:00
Love the AI recipe feature when it nails it — but it hallucinates ingredients I don't have.,play_store,4,power_user,Noor L.,2026-04-14T06:32:54.026795+00:00
"The subscribe button just spins forever. Tried on iOS and web, same thing.",zendesk,,smb,Yuki H.,2026-04-18T02:32:54.026795+00:00
AI suggestions are great when they work but maybe 30% of the time the ingredients don't make sense.,nps,3,power_user,Diego A.,2026-03-11T08:32:54.026795+00:00
Pro features should include grocery integration at this price.,play_store,3,new_user,Riley X.,2026-02-12T16:32:54.026795+00:00
AI suggestions are great when they work but maybe 30% of the time the ingredients don't make sense.,play_store,3,smb,Riley C.,2026-03-02T21:32:54.026795+00:00
Love the AI recipe feature when it nails it — but it hallucinates ingredients I don't have.,nps,,smb,Diego B.,2026-03-18T09:32:54.026795+00:00
"Sync between devices is unreliable — sometimes works, sometimes silent failure.",interview,,new_user,Sam H.,2026-03-10T05:32:54.026795+00:00
Why is there no dark theme in 2025?,play_store,2,smb,Chen P.,2026-03-14T05:32:54.026795+00:00
Tried to subscribe to Pro but the payment returned an error. Please fix.,interview,,free_tier,Yuki Y.,2026-02-19T09:32:54.026795+00:00
Filters in search don't actually filter. Vegan + under 30min still shows steak.,zendesk,,free_tier,Diego E.,2026-04-05T11:32:54.026795+00:00
"Asked for a vegan dinner with chickpeas, got a recipe with chicken. Happens every time.",app_store,2,new_user,Priya M.,2026-04-02T23:32:54.026795+00:00
Skipped most of the onboarding and now the app keeps prompting me to finish it.,play_store,3,new_user,Noor Z.,2026-04-11T10:32:54.026795+00:00
Why is there no dark theme in 2025?,app_store,3,new_user,Alex L.,2026-05-20T03:32:54.026795+00:00
Dark mode would be a huge upgrade.,play_store,3,enterprise,Diego P.,2026-03-16T20:32:54.026795+00:00
